period,generation,solution_rank,lambda_h,lambda_k,lambda,tip,lambda_k_branch
15,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
16,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
17,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
18,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
